title,url,genre
Mistress of the Second Circle,https://www.smashwords.com/books/view/1599948,Adventure
Zero Tolerance,https://www.smashwords.com/books/view/1572085,Adventure
Bloodletting,https://www.smashwords.com/books/view/1570309,Adventure
First Blood,https://www.smashwords.com/books/view/94596,Adventure
A Vineyard Celebration,https://www.smashwords.com/books/view/1494902,Adventure
The Sunrise Cove Inn,https://www.smashwords.com/books/view/1173726,Adventure
Desperate Creed,https://www.smashwords.com/books/view/1278657,Adventure
Nantucket Solstice,https://www.smashwords.com/books/view/1514844,Adventure
Esrahaddon,https://www.smashwords.com/books/view/1435419,Adventure
The Blood of Tyrants,https://www.smashwords.com/books/view/1443366,Adventure
The Copperfield House,https://www.smashwords.com/books/view/1173725,Adventure
The Huguenot Connection Trilogy…,https://www.smashwords.com/books/view/1599363,Adventure
The Jo Modeen Box Set: Books 7 to 9,https://www.smashwords.com/books/view/1051593,Adventure
The Jo Modeen Box Set: Books 10 to 12,https://www.smashwords.com/books/view/1169140,Adventure
Hostage,https://www.smashwords.com/books/view/1571244,Adventure
Delta Red Arc,https://www.smashwords.com/books/view/1537987,Adventure
Traffik: The Stolen Girls,https://www.smashwords.com/books/view/648389,Adventure
The Last Bohemians,https://www.smashwords.com/books/view/335265,Adventure
Hunchback,https://www.smashwords.com/books/view/419763,Adventure
The Geographical Cure?,https://www.smashwords.com/books/view/1142161,Adventure
No Honor in Death,https://www.smashwords.com/books/view/1173913,Adventure
The Parthian,https://www.smashwords.com/books/view/63028,Adventure
"Warrior Mage (Chains of Honor, …",https://www.smashwords.com/books/view/538186,Adventure
The Modeen Factor,https://www.smashwords.com/books/view/496979,Adventure
Boston Bust-Out (The Assassin Boo…,https://www.smashwords.com/books/view/1154544,Adventure
弄臣,https://www.smashwords.com/books/view/1603586,Adventure
弄臣,https://www.smashwords.com/books/view/1603579,Adventure
Temporary Excursions,https://www.smashwords.com/books/view/1603490,Adventure
The Durable & Damned.,https://www.smashwords.com/books/view/1600631,African American fiction
Le chef de la mafia m'a demandé en …,https://www.smashwords.com/books/view/1602534,African American fiction
Good Love,https://www.smashwords.com/books/view/1603460,African American fiction
SIS,https://www.smashwords.com/books/view/1585052,African American fiction
Cartel Bloodline,https://www.smashwords.com/books/view/1584948,African American fiction
The Mafia's Girlfriend,https://www.smashwords.com/books/view/1591373,African American fiction
The One Who Knows Me,https://www.smashwords.com/books/view/1539416,African American fiction
He's All In,https://www.smashwords.com/books/view/1559069,African American fiction
Goal,https://www.smashwords.com/books/view/1324524,African American fiction
Nyokabi,https://www.smashwords.com/books/view/1582591,African American fiction
Serena Manchester Mysteries: The Lo…,https://www.smashwords.com/books/view/1523982,African American fiction
How I Stole the Princess's White K…,https://www.smashwords.com/books/view/1429109,African American fiction
Open Doors: The Complete Series,https://www.smashwords.com/books/view/1402547,African American fiction
Seduced by Her Dad's Best Friend,https://www.smashwords.com/books/view/1339655,African American fiction
Nemesis-A Novel by Nona Jae,https://www.smashwords.com/books/view/1585258,African American fiction
Through a Bhoys Eyes Part 1,https://www.smashwords.com/books/view/1583321,African American fiction
Stick It To The Man: A Non-Political Per…,https://www.smashwords.com/books/view/1465417,African American fiction
Broken: A Billionaire Romance Book 1,https://www.smashwords.com/books/view/1050877,African American fiction
Assist,https://www.smashwords.com/books/view/1557087,African American fiction
Affairs of the Heart,https://www.smashwords.com/books/view/888926,African American fiction
More Than Love,https://www.smashwords.com/books/view/1009219,African American fiction
Wild Surrender,https://www.smashwords.com/books/view/668946,African American fiction
A Confession To My Husband,https://www.smashwords.com/books/view/987659,African American fiction
How To Love Me,https://www.smashwords.com/books/view/1116283,African American fiction
The Incumbent Coroner (Fenway …,https://www.smashwords.com/books/view/1030012,African American fiction
My Truth,https://www.smashwords.com/books/view/1603453,African American fiction
Feel The Heat,https://www.smashwords.com/books/view/1603204,African American fiction
Fractured Realities,https://www.smashwords.com/books/view/1602237,Alternative history
El Holograma Universal,https://www.smashwords.com/books/view/1601290,Alternative history
Lilith: Angel of the Abyss,https://www.smashwords.com/books/view/1601216,Alternative history
Caesar Ascending-Caesar…,https://www.smashwords.com/books/view/1118571,Alternative history
Eric Flint's 1632 & Beyond Issue #5,https://www.smashwords.com/books/view/1572672,Alternative history
The Millionaire Son In Law Volume 1,https://www.smashwords.com/books/view/1552309,Alternative history
1/6: Will Be Wild,https://www.smashwords.com/books/view/1524372,Alternative history
The Last Independence Day…,https://www.smashwords.com/books/view/1482492,Alternative history
The Thirteenth Month,https://www.smashwords.com/books/view/1383974,Alternative history
Retrocognition (Fragments of time),https://www.smashwords.com/books/view/1543912,Alternative history
Eric Flint's 1632 & Beyond Issue #1,https://www.smashwords.com/books/view/1473439,Alternative history
The Millionaire Son In Law V2,https://www.smashwords.com/books/view/1585695,Alternative history
Donnie: A Brotherhood MC N…,https://www.smashwords.com/books/view/1576247,Alternative history
The Enduring Goddess,https://www.smashwords.com/books/view/1567331,Alternative history
Emp: Year Seven: 'Trouble',https://www.smashwords.com/books/view/1348356,Alternative history
Legacy of Time,https://www.smashwords.com/books/view/1426215,Alternative history
To Have and To Hold: The Meryton…,https://www.smashwords.com/books/view/1262431,Alternative history
Big Gene Little Gene,https://www.smashwords.com/books/view/653415,Alternative history
Nova Roma 2: Quaestu pro Nova …,https://www.smashwords.com/books/view/1436744,Alternative history
Boston Metaphysical Society: A Storm o…,https://www.smashwords.com/books/view/896295,Alternative history
The Paean Project,https://www.smashwords.com/books/view/1603107,Alternative history
El Amanecer Más Largo,https://www.smashwords.com/books/view/1602759,Alternative history
Cuentos Mágicos para Bebés: 50 Re…,https://www.smashwords.com/books/view/1602502,Alternative history
Lady Vengeance,https://www.smashwords.com/books/view/1438334,Anthologies
Ruth and Ann's Guide to Time Tra…,https://www.smashwords.com/books/view/1601967,Anthologies
Dreams in Time,https://www.smashwords.com/books/view/1587309,Anthologies
Lies We Never See,https://www.smashwords.com/books/view/1559770,Anthologies
A Following Sea,https://www.smashwords.com/books/view/1560083,Anthologies
Last Stand Saloon 4-Story Collection,https://www.smashwords.com/books/view/1247744,Anthologies
Inara: Light of Utopia,https://www.smashwords.com/books/view/1548411,Anthologies
Mystic Moonhaven Mysteries,https://www.smashwords.com/books/view/1517279,Anthologies
Mrs. Lillywhite Investigates Books…,https://www.smashwords.com/books/view/1459243,Anthologies
Paradise Crime Mysteries Complet…,https://www.smashwords.com/books/view/1496151,Anthologies
Love is in the Era,https://www.smashwords.com/books/view/1514586,Anthologies
Rock Star Chronicles,https://www.smashwords.com/books/view/1466796,Anthologies
MOAB: Mother Of All Boxsets,https://www.smashwords.com/books/view/917631,Anthologies
Dark Before Light,https://www.smashwords.com/books/view/1581071,Anthologies
Floating World: Tales of Unrequite…,https://www.smashwords.com/books/view/1427419,Anthologies
Stick It To The Man: A Non-Political Per…,https://www.smashwords.com/books/view/1465417,Anthologies
Paper Crafts Club Mystery Box Set B…,https://www.smashwords.com/books/view/1545837,Anthologies
Sour Candy,https://www.smashwords.com/books/view/1471481,Anthologies
Active Reader: And Other Cautionary …,https://www.smashwords.com/books/view/1168744,Anthologies
Gabriel Hawke Novels Books 1-3,https://www.smashwords.com/books/view/1191141,Anthologies
More Short Fuses (Four Free Short S…,https://www.smashwords.com/books/view/449402,Anthologies
Golah Sing,https://www.smashwords.com/books/view/1055614,Anthologies
Ice Melts in the Wind: The Season…,https://www.smashwords.com/books/view/904576,Anthologies
An Alpha's Mate 1-3,https://www.smashwords.com/books/view/958841,Anthologies
Beyond the Grave,https://www.smashwords.com/books/view/1603725,Anthologies
Earl of Westcliff: Wicked Regency …,https://www.smashwords.com/books/view/1603678,Anthologies
#RescueMe,https://www.smashwords.com/books/view/1603677,Anthologies
The Sentimental Blonde,https://www.smashwords.com/books/view/1588793,Biographical
Land of Hope,https://www.smashwords.com/books/view/1601754,Biographical
